,Date_reported,Country,y_cases,y_deaths,Cumulative_cases,Cumulative_deaths,Total_Existed,total_tests,School_closing,Workplace_closing,public_events,Stay_at_home,travel_controls,Travel_Ban_Condition,Restaurant_Restriction
18,2020-01-21,Australia,8.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
19,2020-01-22,Australia,7.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
20,2020-01-23,Australia,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
21,2020-01-24,Australia,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
22,2020-01-25,Australia,3.0,0.0,7.0,0.0,0.0,2466,0,0,0,0,0,0,0
23,2020-01-26,Australia,3.0,0.0,8.0,0.0,4.0,2467,0,0,0,0,0,0,0
24,2020-01-27,Australia,3.0,0.0,9.0,0.0,5.0,2466,0,0,0,0,0,0,0
25,2020-01-28,Australia,2.0,0.0,9.0,0.0,5.0,2467,0,0,0,0,0,0,0
26,2020-01-29,Australia,1.0,0.0,11.0,0.0,6.0,2466,0,0,0,0,0,0,0
27,2020-01-30,Australia,0.0,0.0,13.0,0.0,7.0,2467,0,0,0,0,0,0,0
28,2020-01-31,Australia,0.0,0.0,13.0,0.0,7.0,2466,0,0,0,0,0,0,0
29,2020-02-01,Australia,0.0,0.0,16.0,0.0,10.0,2467,0,0,0,0,3,0,0
30,2020-02-02,Australia,0.0,0.0,16.0,0.0,10.0,2466,0,0,0,0,3,0,0
31,2020-02-03,Australia,0.0,0.0,16.0,0.0,10.0,2467,0,0,0,0,3,0,0
32,2020-02-04,Australia,0.0,0.0,17.0,0.0,11.0,2466,0,0,0,0,3,0,0
33,2020-02-05,Australia,0.0,0.0,18.0,0.0,11.0,2467,0,0,0,0,3,0,0
34,2020-02-06,Australia,0.0,0.0,19.0,0.0,12.0,2466,0,0,0,0,3,0,0
35,2020-02-07,Australia,2.0,0.0,19.0,0.0,13.0,2467,0,0,0,0,3,0,0
36,2020-02-08,Australia,6.0,0.0,19.0,0.0,13.0,2466,0,0,0,0,3,0,0
37,2020-02-09,Australia,7.0,0.0,19.0,0.0,13.0,2467,0,0,0,0,3,0,0
38,2020-02-10,Australia,7.0,0.0,19.0,0.0,13.0,2466,0,0,0,0,3,0,0
39,2020-02-11,Australia,8.0,0.0,19.0,0.0,13.0,2467,0,0,0,0,3,0,0
40,2020-02-12,Australia,8.0,0.0,19.0,0.0,13.0,2466,0,0,0,0,3,0,0
41,2020-02-13,Australia,8.0,0.0,19.0,0.0,7.0,2467,0,0,0,0,3,0,0
42,2020-02-14,Australia,6.0,0.0,19.0,0.0,7.0,2466,0,0,0,0,3,0,0
43,2020-02-15,Australia,4.0,0.0,19.0,0.0,7.0,2467,0,0,0,0,3,0,0
44,2020-02-16,Australia,5.0,1.0,19.0,0.0,7.0,2466,0,0,0,0,3,0,0
45,2020-02-17,Australia,11.0,1.0,19.0,0.0,5.0,2467,0,0,0,0,3,0,0
46,2020-02-18,Australia,10.0,1.0,19.0,0.0,5.0,2466,0,0,0,0,3,0,0
47,2020-02-19,Australia,10.0,1.0,19.0,0.0,5.0,2467,0,0,0,0,3,0,0
48,2020-02-20,Australia,20.0,1.0,19.0,0.0,5.0,2466,0,0,0,0,3,0,0
49,2020-02-21,Australia,39.0,2.0,21.0,0.0,4.0,2467,0,0,0,0,3,0,0
50,2020-02-22,Australia,45.0,2.0,25.0,0.0,4.0,2466,0,0,0,0,3,0,0
51,2020-02-23,Australia,50.0,2.0,26.0,0.0,4.0,2466,0,0,0,0,3,0,0
52,2020-02-24,Australia,59.0,2.0,26.0,0.0,4.0,2467,0,0,0,0,3,0,0
53,2020-02-25,Australia,59.0,2.0,27.0,0.0,4.0,2466,0,0,0,0,3,0,0
54,2020-02-26,Australia,89.0,2.0,27.0,0.0,4.0,2467,0,0,0,0,3,0,0
55,2020-02-27,Australia,97.0,2.0,27.0,0.0,4.0,2466,0,0,0,0,3,0,0
56,2020-02-28,Australia,127.0,1.0,27.0,0.0,4.0,2467,0,0,0,0,3,0,0
57,2020-02-29,Australia,127.0,1.0,29.0,0.0,14.0,2466,0,0,0,0,3,0,0
58,2020-03-01,Australia,221.0,2.0,31.0,1.0,16.0,2467,0,0,0,0,3,0,0
59,2020-03-02,Australia,244.0,2.0,37.0,1.0,19.0,2466,0,0,0,0,3,0,0
60,2020-03-03,Australia,322.0,2.0,37.0,1.0,28.0,2467,0,0,0,0,3,0,0
61,2020-03-04,Australia,388.0,3.0,37.0,1.0,41.0,2466,0,0,0,0,3,0,0
62,2020-03-05,Australia,565.0,3.0,47.0,1.0,34.0,2467,0,0,0,0,3,0,0
63,2020-03-06,Australia,680.0,4.0,66.0,2.0,39.0,2466,0,0,0,0,3,0,0
64,2020-03-07,Australia,880.0,4.0,74.0,2.0,42.0,2467,0,0,0,0,3,0,0
65,2020-03-08,Australia,796.0,2.0,81.0,3.0,55.0,2466,0,0,0,0,3,0,0
66,2020-03-09,Australia,1369.0,2.0,96.0,3.0,70.0,2467,0,0,0,0,3,0,0
67,2020-03-10,Australia,1718.0,3.0,96.0,3.0,86.0,2466,0,0,0,0,3,0,0
68,2020-03-11,Australia,1909.0,2.0,126.0,3.0,107.0,2467,0,0,0,0,3,0,0
69,2020-03-12,Australia,2090.0,5.0,144.0,3.0,107.0,2466,0,0,0,0,3,0,0
70,2020-03-13,Australia,2112.0,6.0,193.0,3.0,177.0,2467,0,0,0,0,3,0,0
71,2020-03-14,Australia,2554.0,7.0,201.0,3.0,227.0,2466,0,0,0,0,3,0,0
72,2020-03-15,Australia,2868.0,9.0,302.0,5.0,274.0,2467,0,0,0,0,3,0,0
73,2020-03-16,Australia,2536.0,11.0,340.0,5.0,354.0,2466,0,0,1,0,3,0,0
74,2020-03-17,Australia,2421.0,11.0,418.0,5.0,429.0,2467,0,0,1,0,3,0,0
75,2020-03-18,Australia,2437.0,12.0,514.0,6.0,545.0,2466,0,0,2,0,3,0,0
76,2020-03-19,Australia,2177.0,10.0,709.0,6.0,655.0,2467,0,0,2,0,3,0,0
77,2020-03-20,Australia,2365.0,13.0,873.0,7.0,765.0,2466,0,0,2,0,4,1,0
78,2020-03-21,Australia,1819.0,14.0,1081.0,7.0,1045.0,2467,0,0,2,0,4,1,0
79,2020-03-22,Australia,1669.0,18.0,1098.0,7.0,1461.0,2466,0,0,2,0,4,1,0
80,2020-03-23,Australia,1550.0,21.0,1709.0,7.0,1594.0,9744,0,2,2,0,4,1,1
81,2020-03-24,Australia,1287.0,23.0,2136.0,8.0,1929.0,9743,3,2,2,1,4,1,1
82,2020-03-25,Australia,1096.0,25.0,2423.0,8.0,2245.0,9744,3,2,2,1,4,1,1
83,2020-03-26,Australia,1076.0,29.0,2799.0,11.0,2638.0,9743,3,2,2,1,4,1,1
84,2020-03-27,Australia,802.0,26.0,2985.0,13.0,2949.0,9744,3,2,2,1,4,1,1
85,2020-03-28,Australia,835.0,28.0,3635.0,14.0,3396.0,9743,3,2,2,1,4,1,1
86,2020-03-29,Australia,678.0,25.0,3966.0,16.0,3740.0,9744,3,2,2,1,4,1,1
87,2020-03-30,Australia,527.0,22.0,4245.0,18.0,4104.0,12270,3,2,2,1,4,1,1
88,2020-03-31,Australia,522.0,19.0,4557.0,19.0,4201.0,12271,3,2,2,1,4,1,1
89,2020-04-01,Australia,460.0,16.0,4860.0,20.0,4440.0,12270,3,2,2,1,4,1,1
90,2020-04-02,Australia,406.0,13.0,4976.0,21.0,4596.0,12271,3,2,2,2,4,1,1
91,2020-04-03,Australia,316.0,11.0,5350.0,26.0,4681.0,12270,3,2,2,2,4,1,1
92,2020-04-04,Australia,244.0,11.0,5454.0,28.0,4849.0,12271,3,2,2,2,4,1,1
93,2020-04-05,Australia,293.0,11.0,5635.0,34.0,4930.0,12270,3,2,2,2,4,1,1
94,2020-04-06,Australia,290.0,9.0,5795.0,39.0,4717.0,5509,3,2,2,2,4,1,1
95,2020-04-07,Australia,259.0,10.0,5844.0,42.0,4815.0,8037,3,2,2,2,4,1,1
96,2020-04-08,Australia,231.0,13.0,5956.0,45.0,4930.0,8668,3,2,2,2,4,1,1
97,2020-04-09,Australia,203.0,12.0,6052.0,50.0,4636.0,10766,3,2,2,2,4,1,1
98,2020-04-10,Australia,199.0,13.0,6152.0,52.0,4422.0,8212,3,2,2,2,4,1,1
99,2020-04-11,Australia,154.0,12.0,6289.0,56.0,4497.0,9501,3,2,2,2,4,1,1
100,2020-04-12,Australia,97.0,11.0,6313.0,59.0,4509.0,6094,3,2,2,2,4,1,1
101,2020-04-13,Australia,101.0,13.0,6322.0,61.0,4545.0,8195,3,2,2,2,4,1,1
102,2020-04-14,Australia,100.0,13.0,6366.0,61.0,4229.0,4357,3,2,2,2,4,1,1
103,2020-04-15,Australia,91.0,14.0,6416.0,61.0,4254.0,4884,3,2,2,2,4,1,1
104,2020-04-16,Australia,85.0,15.0,6458.0,63.0,4107.0,8626,3,2,2,2,4,1,1
105,2020-04-17,Australia,95.0,16.0,6468.0,63.0,2714.0,11527,3,2,2,2,4,1,1
106,2020-04-18,Australia,80.0,14.0,6533.0,67.0,2444.0,14980,2,2,2,2,4,1,1
107,2020-04-19,Australia,80.0,12.0,6606.0,70.0,2486.0,14486,2,2,2,2,4,1,1
108,2020-04-20,Australia,88.0,12.0,6612.0,70.0,2332.0,10738,2,2,2,2,4,1,1
109,2020-04-21,Australia,100.0,11.0,6625.0,71.0,1950.0,8108,2,2,2,2,4,1,1
110,2020-04-22,Australia,111.0,8.0,6647.0,74.0,1720.0,12599,2,2,2,2,4,1,1
111,2020-04-23,Australia,129.0,7.0,6661.0,75.0,1615.0,14218,2,2,2,2,4,1,1
112,2020-04-24,Australia,134.0,5.0,6667.0,76.0,1541.0,15711,2,2,2,2,4,1,1
113,2020-04-25,Australia,147.0,4.0,6687.0,79.0,1318.0,11887,2,2,2,2,4,1,1
114,2020-04-26,Australia,146.0,4.0,6703.0,81.0,1173.0,12192,2,2,2,2,4,1,1
115,2020-04-27,Australia,140.0,2.0,6713.0,83.0,1133.0,10614,2,2,2,2,4,1,1
116,2020-04-28,Australia,123.0,2.0,6725.0,84.0,1079.0,13616,2,2,2,2,4,1,1
117,2020-04-29,Australia,115.0,1.0,6738.0,88.0,1037.0,13731,2,2,2,2,4,1,1
118,2020-04-30,Australia,100.0,1.0,6746.0,90.0,1024.0,19231,2,2,2,2,4,1,1
119,2020-05-01,Australia,93.0,1.0,6762.0,92.0,1003.0,25227,2,2,2,2,4,1,1
120,2020-05-02,Australia,105.0,1.0,6767.0,93.0,985.0,22715,2,2,2,2,4,1,1
121,2020-05-03,Australia,107.0,1.0,6783.0,93.0,973.0,21524,2,2,2,2,4,1,1
122,2020-05-04,Australia,104.0,1.0,6801.0,95.0,960.0,17107,2,2,2,2,4,1,1
123,2020-05-05,Australia,112.0,2.0,6825.0,95.0,900.0,14542,2,2,2,2,4,1,1
124,2020-05-06,Australia,104.0,2.0,6849.0,96.0,863.0,23900,2,2,2,2,4,1,1
125,2020-05-07,Australia,104.0,2.0,6875.0,97.0,835.0,33893,2,2,2,2,4,1,1
126,2020-05-08,Australia,92.0,2.0,6896.0,97.0,796.0,34701,2,2,2,2,4,1,1
127,2020-05-09,Australia,76.0,3.0,6914.0,97.0,798.0,38206,2,2,2,2,4,1,1
128,2020-05-10,Australia,70.0,4.0,6929.0,97.0,781.0,32416,2,2,2,2,4,1,1
129,2020-05-11,Australia,64.0,4.0,6941.0,97.0,757.0,27247,2,2,2,2,4,1,1
130,2020-05-12,Australia,58.0,3.0,6948.0,97.0,710.0,22808,2,2,2,2,4,1,1
131,2020-05-13,Australia,65.0,3.0,6964.0,97.0,692.0,31098,2,2,2,2,4,1,1
132,2020-05-14,Australia,60.0,3.0,6975.0,98.0,685.0,34455,2,2,2,2,4,1,1
133,2020-05-15,Australia,69.0,3.0,6989.0,98.0,676.0,40336,2,1,2,1,4,1,1
134,2020-05-16,Australia,78.0,2.0,7019.0,98.0,680.0,31836,2,1,2,1,4,1,1
135,2020-05-17,Australia,79.0,1.0,7036.0,98.0,662.0,26474,2,1,2,1,4,1,1
136,2020-05-18,Australia,86.0,1.0,7045.0,98.0,655.0,19908,2,1,2,1,4,1,1
137,2020-05-19,Australia,86.0,1.0,7060.0,99.0,641.0,23836,2,1,2,1,4,1,1
138,2020-05-20,Australia,88.0,1.0,7068.0,99.0,611.0,25697,2,1,2,1,4,1,1
139,2020-05-21,Australia,90.0,-1.0,7079.0,100.0,617.0,26117,2,1,2,1,4,1,1
140,2020-05-22,Australia,90.0,-1.0,7081.0,100.0,614.0,32998,2,1,2,1,4,1,1
141,2020-05-23,Australia,78.0,-1.0,7095.0,101.0,606.0,21580,2,1,2,1,4,1,1
